Target Word,Level,Type,Taboo 1,Taboo 2,Taboo 3,Taboo 4,Taboo 5
Boulangerie,A1,Nom,Pain,Croissant,Acheter,Matin,Baguette
Tour Eiffel,A1,Nom,Paris,Monument,Fer,France,Dame de fer
Médecin,A1,Nom,Hôpital,Malade,Docteur,Santé,Ordonnance
Cinéma,A1,Nom,Film,Écran,Pop-corn,Regarder,Salle
Soleil,A1,Nom,Été,Chaud,Ciel,Jaune,Lumière
Voyage,A2,Nom,Avion,Valise,Vacances,Partir,Passeport
Cuisiner,A2,Nom,Manger,Recette,Poêle,Chef,Préparer
Ordinateur,A2,Nom,Écran,Clavier,Internet,Souris,Travail
Vêtement,A2,Nom,Porter,Habit,Mode,Magasin,Pantalon
Sport,A2,Nom,Ballon,Courir,Équipe,Match,Exercice
Environnement,B1,Nom,Planète,Écologie,Nature,Pollution,Recyclage
Gouvernement,B1,Nom,Politique,Lois,État,Ministre,Président
Entreprise,B1,Nom,Travail,Bureau,Patron,Société,Salariés
Éducation,B1,Nom,École,Apprendre,Professeur,Études,Diplôme
Publicité,B1,Nom,Télévision,Vendre,Marque,Affiche,Produit
Célibataire,B2,Nom,Marié,Couple,Seul,Relation,Amour
Chômage,B2,Nom,Travail,Emploi,Argent,Licenciement,Aide
Citoyenneté,B2,Nom,Droit,Vote,Pays,Nationalité,Devoir
Égalité,B2,Nom,Homme,Femme,Justice,Même,Liberté
Nucléaire,B2,Nom,Énergie,Centrale,Atome,Radioactif,Électricité
Prendre,A1,Verb,Utiliser,Aller,Bus,Train,Main
Grand,A1,Adj,Petit,Taille,Haut,Large,Immense
Travailler,A1,Verb,Bureau,Argent,Emploi,Métier,Faire
Heureux,A1,Adj,Content,Joie,Sourire,Triste,Bien
Arriver,A1,Verb,Venir,Destination,Gare,Retard,Finir
Réserver,A2,Verb,Hôtel,Chambre,Place,Restaurant,Ticket
Fatigué,A2,Adj,Sommeil,Dormir,Énergie,Épuisé,Lit
Choisir,A2,Verb,Option,Décider,Préférer,Sélection,Entre
Rapide,A2,Adj,Vite,Vitesse,Train,Lent,Course
Louer,A2,Verb,Appartement,Voiture,Prix,Vacances,Propriétaire
Découvrir,B1,Verb,Nouveau,Trouver,Voyage,Explorer,Voir
Efficace,B1,Adj,Rapide,Travail,Résultat,Performance,Utile
Négocier,B1,Verb,Prix,Acheter,Vendre,Discussion,Accord
Passionnant,B1,Adj,Intéressant,Captivant,Ennuyeux,Super,Aimé
Embaucher,B1,Verb,Recruter,Travail,Entretien,Nouveau,Salarié
Ambitieux,B2,Adj,Réussite,Carrière,Vouloir,Succès,Futur
Démissionner,B2,Verb,Quitter,Poste,Travail,Lettre,Partir
Polyvalent,B2,Adj,Plusieurs,Choses,Capable,Compétence,Adaptable
Postuler,B2,Verb,CV,Emploi,Candidat,Lettre,Offre
Lucratif,B2,Adj,Argent,Profit,Gagner,Rentable,Business
Valise,A1,Noun,Bagage,Vêtements,Voyage,Avion,Porter
Partir,A1,Verb,Aller,Sortir,Voyage,Vacances,Avion
Beau,A1,Adj,Joli,Regarder,Esthétique,Moche,Magnifique
Manger,A1,Verb,Nourriture,Restaurant,Faim,Repas,Bouche
Hôtel,A1,Noun,Dormir,Chambre,Lit,Nuit,Réception
Écrire,A2,Verb,Stylo,Papier,Lettre,Texte,Noter
Difficile,A2,Adj,Dur,Facile,Problème,Complexe,Effort
Conduire,A2,Verb,Voiture,Route,Permis,Volant,Aller
Pratique,A2,Adj,Utile,Facile,Simple,Objet,Utiliser
Vendre,A2,Verb,Magasin,Argent,Acheter,Commerce,Client
Se souvenir,B1,Verb,Mémoire,Oublier,Passé,Rappeler,Pensée
Responsable,B1,Adj,Chef,Faute,Devoir,Travail,Charge
Améliorer,B1,Verb,Mieux,Changer,Progrès,Augmenter,Parfaire
Étranger,B1,Adj,Pays,Langue,Autre,Voyage,Frontière
Partager,B1,Verb,Diviser,Ensemble,Amis,Réseaux,Donner
Compétitif,B2,Adj,Concours,Marché,Gagner,Meilleur,Sport
S'épanouir,B2,Verb,Heureux,Bien,Grandir,Fleur,Sentiment
Rigoureux,B2,Adj,Précis,Travail,Sérieux,Détail,Strict
Licencier,B2,Verb,Chômage,Renvoyer,Fin,Patron,Contrat
Indispensable,B2,Adj,Nécessaire,Obligatoire,Essentiel,Besoin,Sans
Gare,A1,Noun,Train,SNCF,Voyage,Rails,Quai
Chercher,A1,Verb,Trouver,Perdu,Regarder,Objet,Quête
Jeune,A1,Adj,Âge,Enfant,Vieux,Nouveau,Petit
Apprendre,A1,Verb,École,Étudier,Savoir,Professeur,Leçon
Billet,A1,Noun,Train,Avion,Ticket,Argent,Payer
Voler,A2,Verb,Avion,Air,Oiseau,Ciel,Aile
Propre,A2,Adj,Sale,Nettoyer,Eau,Lavé,Clair
Gagner,A2,Verb,Argent,Match,Victoire,Salaire,Premier
Libre,A2,Adj,Temps,Prison,Choix,Vacances,Occupé
Dormir,A1,Verb,Lit,Nuit,Rêver,Fatigue,Sommeil
Paris,A1,City,France,Capitale,Eiffel,Ville,Seine
La France,A1,Country,Pays,Europe,Hexagone,Français,Paris
Le Louvre,A1,Museum,Musée,Peinture,Joconde,Pyramide,Paris
Molière,A2,Person,Théâtre,Écrivain,Comédie,Auteur,Dramaturge
La Seine,A1,River,Paris,Eau,Bateau,Fleuve,Pont
Napoléon,A2,Person,Empereur,Guerre,Bonaparte,Corse,Histoire
Renault,A1,Brand,Voiture,Auto,Marque,Français,Transport
La Joconde,A2,Art,Mona Lisa,Tableau,Peinture,Vinci,Sourire
Édith Piaf,B1,Person,Chanteuse,Musique,Môme,Voix,Rose
Le 14 Juillet,A2,Event,Fête,Bastille,National,Feu,Défilé
Asterix,A2,Fiction,BD,Gaulois,Obelix,Romain,Dessin
Le Rhône,B1,River,Fleuve,Lyon,Sud,Eau,Suisse
Bordeaux,A2,City,Vin,Rouge,Sud-ouest,Ville,Alcool
Air France,A1,Brand,Avion,Voler,Compagnie,Aéroport,Transport
Notre-Dame,A2,Church,Cathédrale,Paris,Victor Hugo,Bossu,Feu
Le Mont Blanc,A2,Nature,Montagne,Alpes,Sommet,Neige,France
Versailles,B1,Palace,Château,Louis XIV,Roi,Jardin,Cour
Zinedine Zidane,A2,Person,Foot,Ballon,Sport,Champion,Algérie
Michelin,B1,Brand,Pneu,Guide,Restaurant,Étoile,Route
La Loire,B1,River,Châteaux,Fleuve,Eau,Vallée,Rois
Cannes,B1,City,Festival,Cinéma,Film,Plage,Sud
Coco Chanel,B1,Person,Mode,Parfum,Couture,Luxe,Femme
SNCF,A1,Brand,Train,Gare,Rail,Voyager,Transport
Camembert,A2,Food,Fromage,Lait,Normand,Manger,Odeur
Montmartre,B1,Place,Paris,Peintre,Sacré-Cœur,Colline,Bohème
Claude Monet,B1,Person,Peintre,Impressionnisme,Giverny,Tableau,Art
Lyon,A2,City,Gastronomie,Rhône,Ville,Lumières,Bouchon
Champagne,A2,Drink,Vin,Bulles,Fête,Boisson,Alcool
Marseille,A2,City,Sud,Mer,Port,Foot,Pastis
L'Arc de Triomphe,A2,Landmark,Paris,Étoile,Champs-Élysées,Soldat,Monument
Carrefour,A1,Brand,Magasin,Supermarché,Courses,Acheter,Nourriture
TGV,A1,Brand,Train,Rapide,SNCF,Rail,Vitesse
Victor Hugo,B1,Person,Écrivain,Poète,Misérables,Livre,France
L'Algérie,B1,Country,Afrique,Maghreb,Colonie,Guerre,Sud
Nice,A2,City,Côte d'Azur,Mer,Sud,Plage,Promenade
Ratatouille,A2,Food,Légumes,Plat,Cuisine,Provence,Film
Dior,B1,Brand,Mode,Luxe,Parfum,Couture,France
Louis XIV,B1,Person,Roi,Soleil,Versailles,Histoire,Monarchie
La Corse,B1,Region,Île,Méditerranée,Napoléon,Mer,Vacances
Le Tour de France,A2,Event,Vélo,Cyclisme,Course,Juillet,Maillot jaune
L'Alsace,B1,Region,Strasbourg,Allemagne,Est,Vin,Choucroute
Baguette,A1,Food,Pain,Boulangerie,Manger,Farine,Long
Mairie,A2,Place,Ville,Mariage,Maire,Hôtel,Public
Marie Curie,B1,Person,Science,Radioactivité,Nobel,Femme,Physique
Strasbourg,B1,City,Alsace,Europe,Parlement,Noël,Est
Vittel,A1,Brand,Eau,Boire,Bouteille,Source,Soif
Le Sacré-Cœur,B1,Landmark,Église,Blanc,Montmartre,Paris,Basilique
Le Larousse,B1,Brand,Dictionnaire,Mots,Livre,Définition,Langue
Charles de Gaulle,B2,Person,Président,Général,Aéroport,Guerre,Histoire
La Provence,B1,Region,Sud,Lavande,Soleil,Vacances,Marseille
Chien,A1,Noun,Animal,Chat,Aboyer,Fidèle,Animal de compagnie
Chat,A1,Noun,Miauler,Souris,Animal,Poils,Tigre
Oiseau,A1,Noun,Voler,Plumes,Ciel,Ailes,Nid
Poisson,A1,Noun,Eau,Mer,Nager,Aquarium,Pêcher
Fleur,A1,Noun,Rose,Plante,Jardin,Couleur,Odeur
Forêt,A2,Noun,Arbres,Bois,Vert,Marcher,Nature
Montagne,A2,Noun,Neige,Ski,Haut,Sommet,Alpes
Plage,A2,Noun,Mer,Sable,Été,Vacances,Soleil
Sauvage,A2,Adj,Animal,Nature,Forêt,Libre,Domestique
Pluies,A2,Noun,Eau,Ciel,Parapluie,Mouillé,Nuage
Pollution,B1,Noun,Air,Déchets,Environnement,Sale,Planète
Protéger,B1,Verb,Sauver,Garder,Environnement,Sécurité,Aider
Menacé,B1,Adj,Danger,Espèce,Disparaître,Risque,Extinction
Climat,B1,Noun,Météo,Température,Terre,Réchauffement,Changement
Cultiver,B1,Verb,Jardin,Terre,Légumes,Faire pousser,Agriculture
Écosystème,B2,Noun,Nature,Équilibre,Espèces,Environnement,Vivant
Biodiversité,B2,Noun,Nature,Animaux,Variété,Espèces,Planète
Durable,B2,Adj,Développement,Écologie,Longtemps,Vert,Futur
Fertile,B2,Adj,Terre,Pousser,Agriculture,Riche,Productif
Cheval,A1,Noun,Monter,Galop,Animal,Équitation,Ferme
Vache,A1,Noun,Lait,Ferme,Animal,Taureau,Viande
Mer,A1,Noun,Eau,Plage,Bleu,Bateau,Océan
Arbre,A1,Noun,Forêt,Feuilles,Bois,Vert,Tronc
Vert,A1,Adj,Couleur,Herbe,Nature,Arbre,Écologie
Chasser,A2,Verb,Tuer,Animal,Fusil,Forêt,Chasseur
Calme,A2,Adj,Tranquille,Bruit,Silence,Paix,Nature
Nuage,A2,Noun,Ciel,Pluie,Blanc,Soleil,Météo
Froid,A2,Adj,Hiver,Glace,Neige,Chaud,Température
Recycler,B1,Verb,Poubelle,Plastique,Trier,Déchets,Environnement
Paysage,B1,Noun,Vue,Nature,Beau,Regarder,Panorama
Se promener,B1,Verb,Marcher,Sortir,Pieds,Parc,Forêt
Humide,B1,Adj,Eau,Mouillé,Pluie,Sec,Air
Espèce,B1,Noun,Animal,Groupe,Type,Genre,Vivant
Réchauffement,B2,Noun,Climat,Terre,Chaud,Glace,Pollution
