Target Word,Level,Type,Taboo 1,Taboo 2,Taboo 3,Taboo 4,Taboo 5
Sagrada Família,A2,Proper,Barcelona,Gaudí,Iglesia,Catedral,Templo
Hornear,A1,Verb,Horno,Pastel,Cocinar,Pan,Calor
Caro,A2,Adj,Costar,Dinero,Precio,Barato,Rico
The Beatles,A1,Proper,Música,Banda,Liverpool,Rock,Paul
Biblioteca,A1,Noun,Libros,Leer,Silencio,Prestar,Estudiar
Hermoso,A1,Adj,Guapo,Feo,Mirar,Atractivo,Precioso
Deambular,B2,Verb,Caminar,Perdido,Mover,Viajar,Pasear
Supermercado,A1,Noun,Comida,Comprar,Tienda,Carrito,Alimentos
Nueva York,A1,Proper,Manzana,Skyline,Rascacielos,Manhattan,EE.UU.
Prestar,A2,Verb,Devolver,Tomar,Dinero,Biblioteca,Dejar
Fiable,B1,Adj,Confianza,Depender,Bueno,Honesto,Trabajar
Sherlock Holmes,B1,Proper,Detective,Watson,Londres,Misterio,Pipa
Hospital,A1,Noun,Doctor,Enfermo,Enfermera,Salud,Medicina
Sorpresa,A2,Noun,Susto,Cumpleaños,Regalo,Inesperado,Fiesta
Sostenible,B2,Adj,Verde,Ambiente,Tierra,Futuro,Duradero
Hollywood,A2,Proper,Películas,Estrellas,California,Cine,Actor
Ser voluntario,B1,Verb,Ayudar,Dinero,Trabajar,Caridad,Gratis
Ambicioso,B2,Adj,Meta,Éxito,Difícil,Carrera,Trabajo
Puente de Londres,A2,Proper,Río,Támesis,Caer,Ciudad,Inglaterra
Comprar,B1,Verb,Adquirir,Tienda,Dinero,Obtener,Gasto
Frustrante,B2,Adj,Enfado,Difícil,Molesto,Problema,Pesado
Monte Everest,B1,Proper,Montaña,Alto,Escalar,Nepal,Pico
Aeropuerto,A1,Noun,Avión,Volar,Viajar,Terminal,Maletas
Explicar,A2,Verb,Entender,Decir,Por qué,Claro,Hablar
Acogedor,B1,Adj,Caliente,Pequeño,Casa,Cómodo,Suave
Starbucks,A1,Proper,Café,Bebida,Vaso,Seattle,Verde
